day,ticker,issuer
Monday,MSST,Yieldmax
Monday,NVIT,Yieldmax
Monday,TEST,Yieldmax
Monday,WPAY,Roundhill
Tuesday,CHPY,Yieldmax
Tuesday,FEAT,Yieldmax
Tuesday,FIVY,Yieldmax
Tuesday,GPTY,Yieldmax
Tuesday,LFGY,Yieldmax
Tuesday,QDTY,Yieldmax
Tuesday,RDTY,Yieldmax
Tuesday,SDTY,Yieldmax
Tuesday,SLTY,Yieldmax
Tuesday,ULTY,Yieldmax
Tuesday,YBTC,Roundhill
Tuesday,YETH,Roundhill
Wednesday,CONY,Yieldmax
Wednesday,CRCO,Yieldmax
Wednesday,CVNY,Yieldmax
Wednesday,DIPS,Yieldmax
Wednesday,DRAY,Yieldmax
Wednesday,GDXY,Yieldmax
Wednesday,GMEY,Yieldmax
Wednesday,HIYY,Yieldmax
Wednesday,HOOY,Yieldmax
Wednesday,MSTY,Yieldmax
Wednesday,PLTY,Yieldmax
Wednesday,RBLY,Yieldmax
Wednesday,RDYY,Yieldmax
Wednesday,SMCY,Yieldmax
Wednesday,TSLY,Yieldmax
Wednesday,WNTR,Yieldmax
Wednesday,XYZY,Yieldmax
Wednesday,YBIT,Yieldmax
Thursday,MAGY,Roundhill
Friday,AMDW,Roundhill
Friday,AMZW,Roundhill
Friday,ARMW,Roundhill
Friday,AVGW,Roundhill
Friday,BABW,Roundhill
Friday,COIW,Roundhill
Friday,GDXW,Roundhill
Friday,GLDW,Roundhill
Friday,GOOW,Roundhill
Friday,HOOW,Roundhill
Friday,METW,Roundhill
Friday,NVDW,Roundhill
Friday,PLTW,Roundhill
Friday,TSLW,Roundhill
Friday,UBEW,Roundhill
Friday,UNHW,Roundhill
